time,F1_ORIGINAL
7343.62,0
7343.72,0
7343.82,0
7343.92,0
7344.02,0
7344.12,0
7344.22,0
7344.32,0
7344.42,0
7344.52,0
7344.62,0
7344.72,0
7344.82,0
7344.92,0
7345.02,0
7345.12,0
7345.22,0
7345.32,0
7345.42,0
7345.52,0
7345.62,0
7345.72,0
7345.82,0
7345.92,0
7346.02,0
7346.12,0
7346.22,0
7346.32,0
7346.42,0
7346.52,0
7346.62,0
7346.72,0
7346.82,0
7346.92,0
7347.02,0
7347.12,0
7347.22,0
7347.32,0
7347.42,0
7347.52,0
7347.62,0
7347.72,0
7347.82,0
7347.92,0
7348.02,0
7348.12,0
7348.22,0
7348.32,0
7348.42,0
7348.52,0
7348.62,0
7348.72,0
7348.82,0
7348.92,0
7349.02,0
7349.12,0
7349.22,0
7349.32,0
7349.42,0
7349.52,0
7349.62,0
7349.72,0
7349.82,0
7349.92,0
7350.02,0
7350.12,0
7350.22,0
7350.32,0
7350.42,0
7350.52,0
7350.62,0
7350.72,16.6882
7350.82,35.3085
7350.92,53.825
7351.02,92.9442
7351.12,116.457
7351.22,139.787
7351.32,162.919
7351.42,185.837
7351.52,208.525
7351.62,230.967
7351.72,253.149
7351.82,275.055
7351.92,296.671
7352.02,254.406
7352.12,271.199
7352.22,287.723
7352.32,303.969
7352.42,319.924
7352.52,335.578
7352.62,350.92
7352.72,365.94
7352.82,380.626
7352.92,394.97
7353.02,473.573
7353.12,489.355
7353.22,504.707
7353.32,519.618
7353.42,534.077
7353.52,548.076
7353.62,561.604
7353.72,574.652
7353.82,587.211
7353.92,599.273
7354.02,519.337
7354.12,528.726
7354.22,537.671
7354.32,546.167
7354.42,554.208
7354.52,561.788
7354.62,568.903
7354.72,575.547
7354.82,581.715
7354.92,587.405
7355.02,638.285
7355.12,643.368
7355.22,647.923
7355.32,651.946
7355.42,655.436
7355.52,658.389
7355.62,660.805
7355.72,662.68
7355.82,664.014
7355.92,664.807
7356.02,665.244
7356.12,664.95
7356.22,664.114
7356.32,662.736
7356.42,660.816
7356.52,658.357
7356.62,655.359
7356.72,651.825
7356.82,647.757
7356.92,643.159
7357.02,712.175
7357.12,705.868
7357.22,698.979
7357.32,691.515
7357.42,683.479
7357.52,674.878
